Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d029039	1178	4	0	-0.36	0.79
Zm00001d022737	1179	1	0	-5.36	-5.36
Zm00001d029045	1184	2	0	-1.4	0.13
Zm00001d029049	1188	6	0	1.28	1.3
Zm00001d022738	1190	1	0	-1.16	-1.56
Zm00001d029051	1191	3	0	0.19	-1.39
Zm00001d029052	1192	5	0	1.75	0.35
ENSRNA049465879	1196	3	0	2.16	-3.77
Zm00001d029061	1199	6	0	5.11	6.01
Zm00001d029062	1200	6	0	2.4	2.07
Zm00001d029067	1204	4	0	0.49	2.06
Zm00001d029072	1205	6	0	2.16	1.47
Zm00001d029078	1209	6	0	3.95	4.54
Zm00001d029079	1210	1	0	-1.42	-0.81
Zm00001d029080	1211	0	0	-1.92	-4.33
Zm00001d029083	1212	5	0	2.44	-0.85
Zm00001d029086	1214	5	0	4.93	0
Zm00001d029087	1215	6	0	1.71	1.81
Zm00001d029088	1216	1	0	-1.64	-0.9
Zm00001d029089	1217	3	0	-1.33	-6.27
Zm00001d029090	1218	6	0	4.93	6.45
Zm00001d029091	1219	6	0	1.43	1.57
Zm00001d029098	1223	5	0	2.9	1.04
Zm00001d029099	1224	1	0	-5.94	-5.94
Zm00001d029102	1226	5	0	2.99	0.96
Zm00001d029107	1230	4	0	0.25	1.55
Zm00001d029108	1231	2	0	-2.52	-0.5
Zm00001d029111	1232	2	0	-6.06	-1.92
Zm00001d029122	1238	2	0	-0.82	0.82
Zm00001d029124	1240	2	0	-0.74	0.32
Zm00001d029125	1241	5	0	7.01	-0.58
Zm00001d029141	1251	3	0	0.42	-0.71
Zm00001d029149	1255	5	0	1.59	0.69
Zm00001d029150	1256	3	0	0.41	-0.68
Zm00001d029154	1258	5	0	7.75	0
Zm00001d029155	1259	1	0	-0.94	-1.26
Zm00001d029159	1260	3	0	-0.39	-2.66
Zm00001d029161	1261	0	0	-1.19	-2.26
Zm00001d029162	1262	1	0	-5.09	-5.09
Zm00001d029163	1263	1	0	-5.24	-5.24
Zm00001d029164	1264	5	0	2.74	-1.8
Zm00001d029168	1266	5	0	6.03	0
Zm00001d029170	1268	5	0	0.87	-0.67
Zm00001d029172	1269	5	0	5.85	0
Zm00001d029183	1274	2	0	-3.77	0.14
Zm00001d029185	1275	4	0	0.15	3.92
Zm00001d029192	1280	3	0	0.17	-3.77
Zm00001d029195	1282	3	0	1.54	-5.36
ENSRNA049473644	1287	2	0	-1.08	-0.48
Zm00001d029207	1293	3	0	0.2	-1.43
Zm00001d029208	1294	4	0	-0.16	0.97
Zm00001d029209	1296	3	0	0.47	-0.74
Zm00001d029218	1302	7	0	0.6	1.97
Zm00001d022747	1303	4	0	0.17	1.14
